country_code,latitude,longitude,sum_sports,decathlon_id,sports_api_id,groups_id
CA,45.5528,-73.6411,7,81,81,16
CA,45.5307,-73.5547,12,132,132,20
CA,45.5307,-73.5547,9,306,134,20
CA,45.5374,-73.5735,29,284,284,11
CA,45.5354,-73.6061,4,313,20,11
CA,45.5618,-73.599,2,171,171,25
CA,45.47,-73.6686,6,224,224,1
CA,45.5101,-73.6478,2,45,45,9
CA,45.6109,-73.6211,11,282,282,11
CA,45.5401,-73.6225,19,286,286,14
CA,45.5583,-73.5701,5,471,322,25
CA,45.4671,-73.6487,8,281,281,11
CA,45.5435,-73.6339,6,322,322,25
CA,45.5,-73.5833,17,89,89,16
CA,45.5005,-73.5684,34,443,627,9
CA,45.5606,-73.6584,5,45,45,9
CA,45.5354,-73.6061,30,281,281,11
CA,45.5438,-73.5927,1,311,560,4
CA,45.5009,-73.5877,7,186,272,13
CA,45.4861,-73.5732,15,66,66,22
CA,45.5694,-73.6221,14,285,285,11
CA,43.6555,-79.3626,2,89,89,16
CA,43.6934,-79.4857,3,319,319,10
CA,43.6913,-79.3116,1,78,78,18
CA,43.6075,-79.5013,6,389,257,2
CA,43.6803,-79.3538,3,132,132,20
CA,43.75,-79.3978,1,253,253,24
CA,43.7915,-79.4103,1,321,322,25
CA,43.6456,-79.3754,3,12,257,2
CA,43.6492,-79.3823,1,312,312,20
CA,43.6872,-79.3368,1,466,134,20
CA,43.7334,-79.5116,1,316,273,9
CA,43.6075,-79.5013,1,288,288,14
CA,43.7673,-79.4111,1,290,290,18
CA,45.3168,-72.6491,2,449,391,29
CA,45.799,-72.858,1,320,322,25
CA,45.3938,-72.7005,3,305,134,20
CA,45.3938,-72.7005,3,308,132,20
CA,45.4046,-72.7202,15,461,257,2
CA,45.4046,-72.7202,3,395,522,2
CA,45.4005,-72.7825,1,313,20,11
CA,45.4833,-72.3167,5,253,253,24
CA,46.3342,-73.4774,3,332,279,9
CA,46.2179,-63.0795,1,322,322,25
CA,46.9833,-71.2906,1,305,134,20
CA,46.2716,-63.0165,1,291,351,15
CA,46.9233,-70.8968,13,288,288,14
CA,46.9233,-70.8968,14,253,253,24
CA,46.9233,-70.8968,3,323,323,25
CA,46.9233,-70.8968,1,93,93,20
CA,46.2,-70.7667,1,253,253,24
CA,47.6575,-70.1559,1,389,257,2
CA,45.6442,-73.8448,4,96,96,18
CA,45.3822,-71.9327,16,284,284,11
CA,45.3891,-71.8986,2,290,290,18
CA,45.4113,-71.9586,6,389,257,2
CA,45.4131,-71.9238,2,93,93,20
CA,45.4797,-71.9492,1,250,250,
CA,45.4131,-71.9238,1,288,288,14
CA,45.4131,-71.9238,1,389,257,2
CA,44.6508,-63.6146,1,49,49,9
CA,45.5333,-73.35,10,253,253,24
CA,45.4583,-74.1473,1,458,147,9
CA,51.0876,-115.3461,1,319,319,10
CA,46.1949,-74.6264,30,66,66,22
CA,46.1949,-74.6264,2,320,322,25
CA,46.1949,-74.6264,4,163,163,25
CA,46.1949,-74.6264,1,289,289,19
CA,47.4411,-70.4986,1,324,474,25
CA,44.35,-78.7333,1,308,132,20
CA,48.8286,-67.522,2,93,93,20
CA,45.6209,-73.8728,1,320,322,25
CA,53.7168,-113.2187,1,98,404,19
CA,45.438,-73.6215,1,219,219,1
CA,45.4011,-73.619,8,282,282,11
CA,45.4,-73,1,287,262,14
CA,45.4,-73,1,292,292,30
CA,49.6585,-124.9835,1,308,132,20
CA,45.689,-73.8671,2,302,593,8
CA,45.6602,-73.8157,1,109,109,15
CA,45.689,-73.8671,3,323,323,25
