Name1,Name2,Name3,Name4
Kneeboarding,Kneeboarding,Kneeboarding,
Lake surfing,Surf en lac,Surf en lac,
River surfing,Surf en rivière,Surf en rivière,
Skimboarding,Skimboard,Skimboard,
Skysurfing,Skysurf,Skysurf,
Tow-in surfing,Surf tracté,Surf tracté,
Windsurfing,Planche à voile,Planche à voile,
Freeride windsurfing,Planche à voile style libre,Planche à voile style libre,
Formula windsurfing,Planche à voile formula,Planche à voile formula,
Skateboarding,Skateboard,Skateboard,
Casterboarding,Casterboard,Casterboard,
Cruiserboarding,Cruiser board,Cruiser board,
Freestyle skateboarding,Skateboard freestyle,Skateboard freestyle,
Longboarding,Longboard,Longboard,
Mountainboarding,Planche tout terrain,Mountainboard,"Dirtboarding, Offroad Boarding, All-Terrain Boarding "
Slalom skateboarding,Skateboard slalom,Skateboard slalom,
Snow skating,Snowskate,Snowskate,
Street skateboarding,Street skate,Street skate,
Vert skateboarding,Skateboard acrobatique,Skateboard acrobatique,
Scooter,Trottinette,Trottinette,
Urban kick scooter,Trottinette urbaine,Trottinette urbaine,
Freestyle scooter,Trottinette acrobatique,Trottinette acrobatique,
Snowboarding,Planche à neige,Snowboard,
All-mountain snowboarding,Snowboard de descente,Snowboard de descente,
Backcountry,Snowboard hors piste,Snowboard hors piste,Backcountry snowboarding
Big air,Big air,Big air,Big air snowboard
Freeriding,Snowboard freeride,Snowboard freeride,
Freestyle,Snowboard freestyle,Snowboard freestyle,
Freestyle snowboarding,Snowboard acrobatique,Snowboard acrobatique,
Half-pipe,Snowboard half-pipe,Snowboard half-pipe,Half-pipe snowboarding
Slopestyle,Slopestyle,Slopestyle,Snowboarding slopestyle
Snowboard cross,Snowboardcross,Snowboardcross,Boardercross
Snowboard racing,Course de snowboard,Course de snowboard,
Sandboarding,Sandboard,Sandboard,
Target Sports,,,
Shuffleboard,Shuffleboard,Shuffleboard,
Knife throwing,Lancer de couteaux,Lancer de couteaux,
Axe throwing,Lancer de la hache,Lancer de la hache,
Boules,Jeu de boules,Jeu de boules,
Basque bowls,Boules basque,Boules basque,
Bocce,Bocce,Bocce,
Bocce volo,Boule lyonnaise,Boule lyonnaise,
Boccia,Boccia,Boccia,Pétanque paralympique
Bolas criollas,Bolas criollas,Bolas criollas,
Bolo palma,Bolo palma,Bolo palma,
Pétanque,Pétanque,Pétanque,
Taistelupetankki,Taistelupetankki,Taistelupetankki,
Skittles,Jeu de quilles,Jeu de quilles,
Bowling,Bowling,Bowling,
Lawn bowling,Boulingrin,Boulingrin,Bowls
Bunnock,Bunnock,Bunnock,the Game of Bones
Finnish skittles,Kyykkä,Kyykkä,
Fowling,Fowling,Fowling,
Gorodki,Gorodki,Gorodki,
Kubb,Kubb,Kubb,
Mölkky,Mölkky,Mölkky,
Darts,Fléchettes,Fléchettes,
American darts,Fléchettes américaines,Fléchettes américaines,
Cricket darts,Fléchettes de cricket,Fléchettes de cricket,
Dart golf,Golf en fléchettes,Golf en fléchettes,
Dartball,Dartball,Dartball,
Lawn darts,Jeux de fléchettes,Jeux de fléchettes,"Javelin darts, jarts, yard darts"
Soft tip darts,Dard à pointe souple,Dard à pointe souple,
Steel tip darts,Fléchettes à pointe en acier,Fléchettes à pointe en acier,
Curling,Curling,Curling,
Shooting Sports,,,
Archery,Tir à l'arc,Tir à l'arc,
3D archery,Tir à l'arc 3D,Tir à l'arc 3D,
Archery tag,Archery tag,Archery tag,"Arrow Tag, Archery Dodgeball"
Crossbow,Arbalète,Arbalète,
Field archery,Tir campagne,Tir campagne,
Para archery,Tir à l'arc paralympique,Tir à l'arc paralympique,
Run archery,Tir à l'arc à la course,Tir à l'arc à la course,
Target archery,Tir à l'arc à la cible,Tir à l'arc à la cible,
Paintball,Paintball,Paintball,
Scenario paintball,Scénario paintball,Scénario paintball,
Speedball,Speedball paintball,Speedball paintball,
Woodsball,Woodsball,Woodsball,"woods paintball, hillball, bushball"
Airsoft,,,
Benchrest,,,
Bullseye shooting,,,
Field shooting,,,
Shooting,Tir,Tir,
22 long rifle shooting,Tir à la carabine calibre 22,Tir à la carabine calibre 22,
Air rifle shooting,Tir à la carabine à air,Tir à la carabine à air,
Clay shooting,Tir au pigeon d'argile,Tir au pigeon d'argile,
Long range,,,
Metallic silhouette,,,
Muzzleloading,,,
Para shooting,,,
Plinking,,,
Practical shooting,,,
Rapid fire,,,
Running target,,,
Western,,,
Lasertag,,,
Tow Sports,,,
Sit-down hydrofoil,,,
Skurfing,,,
Tubing,,,
Wakeboarding,Wakeboard,Wakeboard,
Water skiing,Ski nautique,Ski nautique,
Multidisciplinary sport,,,
Triathlon,Triathlon,Triathlon,
Cross Triathlon,,,
Paratriathlon,,,
Winter triathlon,,,
Aquathlon,,,
Bike and Run,,,
Duathlon,Duathlon,Duathlon,
Cross Duathlon,,,
Swimrun,,,
Relaxation training,,,
Yoga,Yoga,Yoga,
Acroyoga,,,
Astanga,,,
Bhakti yoga,,,
Bikram,,,
Chakras,,,
Hatha yoga,,,
Hot yoga,,,
Iyengar,,,
Kundalini,,,
Kuruntha,,,
Mantra yoga,,,
Nidra yoga,,,
Power yoga,,,
Prenatal yoga,,,
Raja yoga,,,
Restorative yoga,,,
Stretching,,,
Vinyasa,,,
Yin yoga,,,
Yoga flow,,,
Yoga hybrids,,,
