Name1,Name2,Name3,Name4
Martial arts,Arts martiaux,Arts martiaux,
Aikido,Aikido,Aikido,
Capoeira,Capoeira,Capoeira,
Karate,Karaté,Karaté,
Kendo,Kendo,Kendo,
Kung fu,Kung fu,Kung fu,
Taekwondo,Taekwondo,Taekwondo,
Tai chi,Tai chi,Tai chi,
Fencing,Escrime,Escrime,
Épée fencing,L'épée,L'épée,
Foil fencing,Le fleuret,Le fleuret,
Sabre fencing,Le sabre,Le sabre,
Wheelchair fencing,Escrime en fauteuil roulant,Escrime handisport,
Grappling,Grappling,Grappling,Lutte
Sambo,Sambo,Sambo,
Jujutsu,Ju-jitsu,Ju-jitsu,
Wrestling,Lutte,Lutte,
Judo,Judo,Judo,
Evala,Evala,Evala,
Freestyle wrestling,Lutte libre,Lutte libre,
Gouren,Lutte bretonne,Gouren,
Greco-roman wrestling,Lutte gréco-romaine,Lutte gréco-romaine,
Mongolian wrestling,Lutte mongole,Lutte mongole,Bökh
Mud wrestling,Lutte dans la boue,Lutte dans la boue,
Schwingen,Lutte suisse,Lutte suisse,Swiss wrestling
Shuai jiao,Shuai jiao,Shuai jiao,
Boxing,Boxe,Boxe,
Shoot-boxing,Shoot-boxe,Shoot-boxe,
Savate,Savate,Savate,
Muay Thai,Muay-thaï,Muay-thaï,
Lethwei,Boxe birmane,Boxe birmane,
Pradal serey,Boxe khmère,Boxe khmère,
Kickboxing,Kick-boxing,Kick-boxing,
Krav Maga,Krav-maga,Krav-maga,
Mixed martial arts,Arts martiaux mixtes,Arts martiaux mixtes,MMA
Adventure & Travel sports,,,
Orienteering,Course d'orientation,Course d'orientation,
Canoe orienteering,Orientation en canot,Orientation en canot,Canoe-O
Foot orienteering,Orientation à pied,Orientation à pied,FootO
Mountain bike orienteering,Course d'orientation à VTT,Course d'orientation à VTT,"MTB-O, MTBO"
Ski orienteering,Ski d'orientation,Ski d'orientation,SkiO
Trail orienteering,Course en sentier d'orientation,Course en sentier d'orientation,TrailO
Hunting,Chasse,Chasse,Sport hunting
Bear hunting,Chasse à l'ours,Chasse à l'ours,
Big-game hunting,Chasse au gros gibier,Chasse au gros gibier,
Bowhunting,Chasse à l'arc,Chasse à l'arc,bow hunting
Deer hunting,Chasse au cerf,Chasse au cerf,
Fox hunting,Chasse au renard,Chasse au renard,
Trapping,Piégeage animal,Piégeage animal,Animal trapping
Turkey hunting,Chasse à la dinde,Chasse à la dinde,
Waterfowl hunting,Chasse au canard,Chasse au canard,"wildfowling, waterfowl shooting"
Hiking,Randonnée,Randonnée,
Dog hiking,Randonnée avec chien,Randonnée avec chien,
Glacier hiking,Randonnée glaciaire,Randonnée glaciaire,
Llama hiking,Randonnée avec llama,Randonnée avec llama,llama trekking
Mountain hiking,Randonnée en montagne,Randonnée en montagne,
Nature hiking,Randonnée en nature,Randonnée en nature,
Snow hiking,Randonnée sur la neige,Randonnée sur la neige,
Speed hiking,Randonnée de vitesse,Randonnée de vitesse,
Fishing,Pêche,Pêche,
Angling,Pêche à la ligne,Pêche à la ligne,
Big-game fishing,Pêche big-game,Pêche big-game,"offshore sportfishing, blue-water fishing"
Bolognese fishing,Pêche à la bolognaise,Pêche à la bolognaise,
Bottom fishing,Pêche aux poissons de fond,Pêche aux poissons de fond,
Carp fishing,Pêche à la carpe,Pêche à la carpe,
Catfish fishing,Pêche au poisson-chat,Pêche au poisson-chat,
Crayfish trapping,Pêche à l'écrevisse,Pêche à l'écrevisse,
Dead bait fishing,Pêche à l'appât,Pêche à l'appât,
Dead minnow fishing,Pêche au vairon,Pêche au vairon,
Fly fishing,Pêche au poisson volant,Pêche au poisson volant,
Ice fishing,Pêche sur glace,Pêche sur glace,
Jigging,Pêche à la jig,Pêche à la jig,
Lake fishing,Pêche en lac,Pêche en lac,
Lure fishing,Pêche au leurre,Pêche au leurre,
Match fishing,Compétition de pêche,Compétition de pêche,
Natural bait trout fishing,Pêche à la truite à l'appât,Pêche à la truite à l'appât,
Predator fishing,Pêche aux prédateurs,Pêche aux prédateurs,
Salt water fishing,Pêche en eau salée,Pêche en eau salée,
Salt water float fishing,Pêche au flotteur de mer,Pêche au flotteur de mer,
Sea quiver tip fishing,Pêche au carquois,Pêche au carquois,
Slip bobber fishing,Pêche au flotteur coulissant,Pêche au flotteur coulissant,
